Year,"				Time",Machine ID,"			Unit No","			Model","				SW Version",LOT No,"				Chip ID","			BCR ID", LensBcr,Step,MotorTx,"			MotorTy","			MotorX","				MotorY","			MotorZ",OC_X,"				OC_Y","				OC_Threshold","		OC_Left","		OC_Right","		OC_Top","		OC_Bottom",CentSFR,"			LfUpSFR6085","			RgtUpSFR6085","			LfDnSFR6085","		RgtDnSFR6085",LfUpSFR60,"			RgtUpSFR60","			LfDnSFR60","		RgtDnSFR60",LfUpSFR85,"			RgtUpSFR85","			LfDnSFR85","		RgtDnSFR85",DFOV,"				TiltX","				TiltY","				Rotation",CenterROI_Left,"		CenterROI_Right","	CenterROI_Top","		CenterROI_Btm",LeftTopROI_Left,"	LeftTopROI_Right","	LeftTopROI_Top","		LeftTopROI_Btm",RightToptROI_Left,"	RightTopROI_Right","	RightTopROI_Top","	RightTopROI_Btm",LeftBtmROI_Left,"	LeftBtmROI_Right","	LeftBtmROI_Top","		LeftBtmROI_Btm",RightBtmtROI_Left,"	RightBtmROI_Right","	RightBtmROI_Top","	RightBtmROI_Btm",IMG1_Cen, IMG1_LeftUp, IMG1_RightUp, IMG1_LeftDown, IMG1_RightDown, IMG2_Cen, IMG2_LeftUp, IMG2_RightUp, IMG2_LeftDown, IMG2_RightDown, IMG3_Cen, IMG3_LeftUp, IMG3_RightUp, IMG3_LeftDown, IMG3_RightDown
10/12/2022,11:15:00:349,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,0,0.024,-0.01092,-5.619,-10.742,-0.977, , , , , , , ,0.040681,0.01428,0.020739,0.017093,0.013122,0.012772,0.020352,0.021475,0.01647,0.015788,0.021127,0.012712,0.009774,30.703146,0.849302,0.130106,0.297638,2008,2143,1434,1569,176,311,192,327,3872,4007,223,358,162,297,2646,2781,3854,3989,2671,2806,0.043483,0.016329,0.02197,0.017146,0.013344,0.043483,0.016329,0.02197,0.017146,0.013344,0,0,0,0,0
10/12/2022,11:15:00:805,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,0,0.024,-0.01092,-5.619,-10.742,-0.9049, , , , , , , ,0.014463,0.019588,0.013633,0.013066,0.015075,0.028736,0.009536,0.017272,0.017082,0.010439,0.01773,0.00886,0.013069,30.523972,0.756312,0.175928,0.147669,2014,2149,1428,1563,174,309,202,337,3884,4019,229,364,160,295,2646,2781,3862,3997,2672,2807,0.01105,0.010641,0.015966,0.004445,0.011309,0.01105,0.010641,0.015966,0.004445,0.011309,0,0,0,0,0
10/12/2022,11:15:01:113,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,1,0.024,-0.01092,-5.619,-10.742,-0.9049, , , , , , , ,0.015127,0.012578,0.011514,0.013192,0.01427,0.019928,0.007701,0.019077,0.0157,0.005227,0.015327,0.007308,0.012841,30.523972,0.756312,0.17615,0.295336,2014,2149,1428,1563,176,311,194,329,3882,4017,224,359,160,295,2646,2781,3862,3997,2672,2807,0.015691,0.004985,0.013748,0.003588,0.010989,0.015691,0.004985,0.013748,0.003588,0.010989,0,0,0,0,0
10/12/2022,11:15:01:299,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,2,0.024,-0.01092,-5.619,-10.742,-0.9171, , , , , , , ,0.016303,0.025551,0.01978,0.014681,0.013773,0.040104,0.011353,0.020586,0.016388,0.010997,0.028206,0.008775,0.011157,30.507689,0.756312,0.164062,0.295336,2014,2149,1428,1563,176,311,194,329,3884,4019,240,375,160,295,2646,2781,3862,3997,2673,2808,0.014183,0.006952,0.014693,0.000895,0.011914,0.010654,0.00903,0.015784,0.001779,0.011514,0,0,0,0,0
10/12/2022,11:15:01:475,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,3,0.024,-0.01092,-5.619,-10.742,-0.9293, , , , , , , ,0.013824,0.009996,0.014704,0.010228,0.01168,0.011543,0.011828,0.012748,0.015812,0.00845,0.01758,0.007708,0.007548,30.556755,0.735654,0.164822,0.148051,2012,2147,1430,1565,175,310,202,337,3878,4013,241,376,162,297,2646,2781,3862,3997,2671,2806,0.010224,0.008485,0.011687,0.006972,0.009196,0.010224,0.008485,0.011687,0.006972,0.009196,0,0,0,0,0
10/12/2022,11:15:01:681,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,4,0.024,-0.01092,-5.619,-10.742,-0.9416, , , , , , , ,0.023894,0.004109,0.012874,0.00877,0.00523,0.004293,0.010163,0.014202,0.005302,0.003924,0.015585,0.003337,0.005158,30.556755,0.758266,0.164822,0.148051,2012,2147,1428,1563,176,311,190,325,3878,4013,221,356,162,297,2646,2781,3860,3995,2671,2806,0.023815,0,0.007179,0,0.006388,0.023815,0,0.007179,0,0.006388,0,0,0,0,0
10/12/2022,11:15:01:865,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,5,0.024,-0.01092,-5.619,-10.742,-0.954, , , , , , , ,0.02702,0.012721,0.01035,0.011725,0.008136,0.011864,0.007356,0.015754,0.006942,0.013579,0.013344,0.007696,0.00933,30.569124,0.758266,0.176818,0.2961,2012,2147,1432,1567,175,310,190,325,3878,4013,226,361,162,297,2646,2781,3856,3991,2671,2806,0.038721,0.02156,0.01181,0.011526,0.006619,0.038721,0.02156,0.01181,0.011526,0.006619,0,0,0,0,0
10/12/2022,11:15:02:059,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,6,0.024,-0.01092,-5.619,-10.742,-0.9664, , , , , , , ,0.029256,0.0132,0.013923,0.013201,0.010005,0.015664,0.011653,0.020532,0.008607,0.010736,0.016193,0.00587,0.011403,30.67421,0.869946,0.16517,0.296867,2010,2145,1432,1567,176,311,191,326,3876,4011,218,353,162,297,2646,2781,3854,3989,2671,2806,0.042685,0.013828,0.012084,0.00628,0.012038,0.041764,0.014916,0.012635,0.006128,0.011319,0,0,0,0,0
10/12/2022,11:15:02:255,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,7,0.024,-0.01092,-5.619,-10.742,-0.9788, , , , , , , ,0.033377,0.012628,0.017079,0.012233,0.014586,0.014591,0.018389,0.016664,0.018739,0.010665,0.015769,0.007802,0.010433,30.690716,0.828604,0.141754,0.298413,2010,2145,1434,1569,176,311,192,327,3872,4007,222,357,162,297,2646,2781,3854,3989,2671,2806,0.042844,0.009143,0.0157,0.007751,0.014816,0.042844,0.009143,0.0157,0.007751,0.014816,0,0,0,0,0
10/12/2022,11:15:02:460,18, Unit #1, PARA, PreFocusing_Ver 2.7,V2Y878I-NABA1, (NULL), AY1C3540505DBKW4, 56106b62e22e5604,8,0.024,-0.01092,-5.619,-10.742,-0.9911, , , , , , , ,0.042909,0.014035,0.022185,0.01557,0.01425,0.013603,0.020294,0.020062,0.01088,0.014467,0.024075,0.011077,0.01762,30.703146,0.828604,0.118378,0.298413,2010,2145,1434,1569,176,311,193,328,3874,4009,224,359,162,297,2646,2781,3854,3989,2675,2810,0.046737,0.021235,0.023838,0.013995,0.022493,0.046737,0.021235,0.023838,0.013995,0.022493,0,0,0,0,0
