GlobalTime,time,station,site,moduleConfig,inputParamterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,standAlone,TestSW_Rev_NVM,option,AFcode,Sharpness_JEN,Sharpness_MGLVN,sfr_560cm_n4_cen_avg,sfr_560cm_n4_cen_TL_137,sfr_560cm_n4_cen_BR_138,sfr_560cm_n4_cen_TR_139,sfr_560cm_n4_cen_BL_140,sfr_560cm_n4_30F_TL_80,sfr_560cm_n4_30F_T_83,sfr_560cm_n4_30F_TR_88,sfr_560cm_n4_30F_TL_105,sfr_560cm_n4_30F_TL_110,sfr_560cm_n4_30F_TR_115,sfr_560cm_n4_30F_TR_117,sfr_560cm_n4_30F_BL_159,sfr_560cm_n4_30F_BL_165,sfr_560cm_n4_30F_BR_168,sfr_560cm_n4_30F_BR_171,sfr_560cm_n4_30F_BL_188,sfr_560cm_n4_30F_B_191,sfr_560cm_n4_30F_BR_196,sfr_560cm_n4_60F_TL_20,sfr_560cm_n4_60F_TL_22,sfr_560cm_n4_60F_TR_36,sfr_560cm_n4_60F_TR_37,sfr_560cm_n4_60F_TL_46,sfr_560cm_n4_60F_TR_66,sfr_560cm_n4_60F_L_126,sfr_560cm_n4_60F_R_150,sfr_560cm_n4_60F_BL_210,sfr_560cm_n4_60F_BR_230,sfr_560cm_n4_60F_BL_240,sfr_560cm_n4_60F_BL_241,sfr_560cm_n4_60F_BR_256,sfr_560cm_n4_60F_BR_258,sfr_560cm_n4_85F_TL_1,sfr_560cm_n4_85F_TR_14,sfr_560cm_n4_85F_TL_15,sfr_560cm_n4_85F_TL_17,sfr_560cm_n4_85F_TL_18,sfr_560cm_n4_85F_TR_39,sfr_560cm_n4_85F_TR_41,sfr_560cm_n4_85F_TR_42,sfr_560cm_n4_85F_TL_44,sfr_560cm_n4_85F_TR_70,sfr_560cm_n4_85F_BL_208,sfr_560cm_n4_85F_BR_234,sfr_560cm_n4_85F_BL_235,sfr_560cm_n4_85F_BL_237,sfr_560cm_n4_85F_BL_238,sfr_560cm_n4_85F_BR_259,sfr_560cm_n4_85F_BR_261,sfr_560cm_n4_85F_BR_262,sfr_560cm_n4_85F_BL_263,sfr_560cm_n4_85F_BR_276,sfr_560cm_n8_cen_avg,sfr_560cm_n8_cen_TL_137,sfr_560cm_n8_cen_BR_138,sfr_560cm_n8_cen_TR_139,sfr_560cm_n8_cen_BL_140,sfr_560cm_n8_30F_TL_80,sfr_560cm_n8_30F_T_83,sfr_560cm_n8_30F_TR_88,sfr_560cm_n8_30F_TL_105,sfr_560cm_n8_30F_TL_110,sfr_560cm_n8_30F_TR_115,sfr_560cm_n8_30F_TR_117,sfr_560cm_n8_30F_BL_159,sfr_560cm_n8_30F_BL_165,sfr_560cm_n8_30F_BR_168,sfr_560cm_n8_30F_BR_171,sfr_560cm_n8_30F_BL_188,sfr_560cm_n8_30F_B_191,sfr_560cm_n8_30F_BR_196,sfr_560cm_n8_60F_TL_20,sfr_560cm_n8_60F_TL_22,sfr_560cm_n8_60F_TR_36,sfr_560cm_n8_60F_TR_37,sfr_560cm_n8_60F_TL_46,sfr_560cm_n8_60F_TR_66,sfr_560cm_n8_60F_L_126,sfr_560cm_n8_60F_R_150,sfr_560cm_n8_60F_BL_210,sfr_560cm_n8_60F_BR_230,sfr_560cm_n8_60F_BL_240,sfr_560cm_n8_60F_BL_241,sfr_560cm_n8_60F_BR_256,sfr_560cm_n8_60F_BR_258,sfr_560cm_n8_85F_TL_1,sfr_560cm_n8_85F_TR_14,sfr_560cm_n8_85F_TL_15,sfr_560cm_n8_85F_TL_17,sfr_560cm_n8_85F_TL_18,sfr_560cm_n8_85F_TR_39,sfr_560cm_n8_85F_TR_41,sfr_560cm_n8_85F_TR_42,sfr_560cm_n8_85F_TL_44,sfr_560cm_n8_85F_TR_70,sfr_560cm_n8_85F_BL_208,sfr_560cm_n8_85F_BR_234,sfr_560cm_n8_85F_BL_235,sfr_560cm_n8_85F_BL_237,sfr_560cm_n8_85F_BL_238,sfr_560cm_n8_85F_BR_259,sfr_560cm_n8_85F_BR_261,sfr_560cm_n8_85F_BR_262,sfr_560cm_n8_85F_BL_263,sfr_560cm_n8_85F_BR_276,sfr_oc_shift_x,sfr_oc_shift_y,sfr_oc_x,sfr_oc_y,alignment_560cm_EFL,alignment_560cm_PFL,alignment_560cm_dFOV_DOTS,alignment_560cm_tilt_x,alignment_560cm_tilt_y,alignment_560cm_rotation,pass_items,fail_items,result,
T220307200108438VCMLEBC040,'2022-03-07 20:01:13:454,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9, C3141 MBO OVEN,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,0,-128,0.0462835950,0.0000000000,0.0451392252,0.0546839274,0.0652334169,0.0279933475,0.0326462090,0.0530203506,0.0576406643,0.0903417096,0.0849149972,0.0377917327,0.0840010643,0.0840938240,0.0915807113,0.0787288174,0.0266235117,0.1025853157,0.1214865893,0.1098643094,0.0833875686,0.1717301905,0.1197369099,0.1190632880,0.1390863061,0.1781073362,0.1057481840,0.1787038296,0.1100058258,0.1609105617,0.1405084133,0.1433582902,0.1558078527,0.1370939612,0.1226353645,0.2154431343,0.0940571278,0.2323677838,0.0781091005,0.0886559784,0.1314064860,0.0955094546,0.0837231427,0.0695348978,0.0859953016,0.1281700432,0.0396643803,0.1765888035,0.1500195116,0.1123990342,0.1816386878,0.0876548737,0.0839796066,0.1484951526,0.1780865192,0.4048744068,0.5034404397,0.4799299538,0.3284959197,0.3076313138,0.4573986530,0.4087205529,0.2710995674,0.3491546214,0.3600606322,0.5188983679,0.2443736643,0.2478758693,0.5133846402,0.3292124867,0.3109217286,0.2563236356,0.3534724712,0.3984276950,0.4084047079,0.3125957251,0.2337577641,0.3854137361,0.3840486407,0.2280139327,0.2955264151,0.2370659560,0.2445676625,0.2944084406,0.2306389362,0.4702499509,0.3108184338,0.2812085748,0.5700185299,0.4743367434,0.5462516546,0.2768923938,0.2812579870,0.4530960917,0.3529868722,0.3420388997,0.3474110961,0.3961899281,0.4820397496,0.2665551901,0.4414888322,0.4621109366,0.4396457672,0.5022022128,0.2219614983,0.2418899238,0.4587922990,0.5208363533,3.2313432836,51.8880597015,2019.7313432836,1460.6119402985,5.7018278991,5.7076393235,78.2563465844,0.0711679891,0.9800304617,0.6661056859,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307200108438VCMLEBC040,'2022-03-07 20:01:14:293,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9, C3141 MBO OVEN,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,0,-96,0.0279682975,0.0000000000,0.2885344364,0.4187301397,0.3921173513,0.1786099970,0.1646802574,0.3241516650,0.2455734313,0.0602617450,0.1586391479,0.2291125357,0.4404280484,0.0462487713,0.0718004107,0.4492489994,0.2030583024,0.1194918752,0.0809017420,0.1887705624,0.2701416612,0.2655785978,0.2230252922,0.1485479474,0.2957434654,0.2133535743,0.1506734788,0.1192387044,0.1206139922,0.1126890704,0.1469582617,0.0990729779,0.3908944726,0.1645049453,0.2044964433,0.4090046585,0.3189094067,0.3888652325,0.1456448138,0.1597276777,0.3119015694,0.2342725396,0.2277429700,0.2103737593,0.2773856819,0.3558862209,0.1260431111,0.2969611287,0.3560650349,0.3262042999,0.3416787982,0.1097253263,0.1422052383,0.2999122441,0.3402539492,0.6842800528,0.7598145604,0.7543101311,0.6191413403,0.6038541794,0.7141705155,0.6710304022,0.5724271536,0.6315932274,0.6439307928,0.7640328407,0.5428755283,0.5512562394,0.7777683735,0.6249592900,0.6115921736,0.5653717518,0.6555007100,0.6987843513,0.6458240747,0.5458483696,0.4434194565,0.6261613369,0.6215197444,0.4372424483,0.5392460823,0.4666725993,0.5066202879,0.5499112606,0.4927985072,0.6965417266,0.5797165036,0.5057743788,0.7082231641,0.6361576915,0.6824795008,0.5148772001,0.5259041190,0.6224489808,0.5958096385,0.5856913328,0.5829292536,0.6269336343,0.6975389719,0.5180676579,0.6133223772,0.6960021257,0.6804404259,0.6574639082,0.4570637047,0.4678032994,0.6352877617,0.6609892845,3.3367346939,51.8632653061,2019.8367346939,1460.6367346939,5.7254993602,5.7313591625,78.1253613835,0.0728752644,0.9755044771,0.6758049285,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307200108438VCMLEBC040,'2022-03-07 20:01:15:148,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9, C3141 MBO OVEN,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,0,-64,0.0164101001,0.0000000000,0.6358833164,0.6408606768,0.6768044233,0.6185894608,0.6072787046,0.6281981468,0.5922127962,0.5436574221,0.5412940979,0.6364969015,0.6310741901,0.5161580443,0.5040098429,0.6618866920,0.6337546706,0.5490043163,0.5321007371,0.5651442409,0.6458067298,0.5272823572,0.5029096603,0.3704274297,0.5605169535,0.4860086441,0.3613619804,0.4215752780,0.3807210922,0.4209721684,0.4740801454,0.4220190942,0.5935856700,0.4995476007,0.4589495957,0.4982844591,0.5043402910,0.4604370296,0.4114763737,0.4419562519,0.4813364744,0.5138015747,0.4954777956,0.4601110220,0.5164266229,0.5591110587,0.4260129631,0.4582307041,0.5900444984,0.5964144468,0.4306365550,0.3721558452,0.3919440508,0.4847236574,0.4201619327,0.8523538411,0.8456569910,0.8732390404,0.8480664492,0.8424528837,0.8217121363,0.8112144470,0.8110705018,0.7968789935,0.8505048752,0.8392414451,0.8000583053,0.7915878296,0.8663812280,0.8580068350,0.8117276430,0.8100552559,0.8243416548,0.8469264507,0.7775969505,0.7771809101,0.7124413252,0.8085955381,0.7618543506,0.7164757848,0.7418636680,0.7236994505,0.7449564338,0.7629366517,0.7415756583,0.8234403729,0.7793408036,0.7551661730,0.7697569132,0.7562705278,0.7602562904,0.7469024062,0.7585663795,0.7435055971,0.7794770002,0.7811182141,0.7647715807,0.7821361423,0.8097622991,0.7473929524,0.7484410405,0.8291203380,0.8230656981,0.7453429699,0.7191029787,0.7258823514,0.7525562048,0.7258052230,3.1929824561,52.1754385965,2019.6929824561,1460.3245614035,5.7540661691,5.7599846214,77.9775081103,0.0697962258,0.9765557097,0.6759240156,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307200108438VCMLEBC040,'2022-03-07 20:01:15:998,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9, C3141 MBO OVEN,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,0,-32,0.0230486545,0.0000000000,0.4302788377,0.2754449844,0.3291867971,0.5467039347,0.5697796345,0.3494261801,0.3769238591,0.5706672072,0.4172230363,0.4996753335,0.2440497577,0.5981537700,0.5641822815,0.2704950273,0.5545156002,0.4883895516,0.5668270588,0.4504494071,0.4378754199,0.4014679193,0.5584988594,0.5452840328,0.4347937703,0.3879744411,0.5700248480,0.4348067641,0.4909294844,0.5139777064,0.4313433170,0.5144509077,0.2935122252,0.4375880361,0.5919011831,0.3602384925,0.4877937436,0.3377451897,0.5347133875,0.5379723907,0.4771044850,0.4738028049,0.4962196350,0.4541437626,0.4175605178,0.3447259068,0.5239175558,0.4348049164,0.3906162381,0.4021972418,0.3007882237,0.5923198462,0.5987555981,0.4506322145,0.3034029603,0.7615746558,0.6744896173,0.7150065899,0.8252251744,0.8315772414,0.6937719584,0.7057478428,0.8084412217,0.7236394882,0.7980208993,0.6609203219,0.8182633519,0.7953934669,0.6815093160,0.8313395381,0.7690420151,0.8063750863,0.7520573735,0.7358834743,0.6959303617,0.8243416548,0.8080201745,0.7671684027,0.6923192143,0.8224226832,0.7254645228,0.7853320241,0.7694083452,0.7537789345,0.7744734883,0.7086887360,0.7531684637,0.8412510157,0.7016171813,0.7561314106,0.7047735453,0.8055766225,0.8101584911,0.7683367729,0.7819190621,0.7863656282,0.7596108913,0.7403076291,0.7100029588,0.8028037548,0.7566200495,0.7463899851,0.7451468706,0.7058311105,0.8321158886,0.8323791027,0.7522062063,0.6825330257,3.4419087137,52.5000000000,2019.9419087137,1460.0000000000,5.7776754588,5.7836426034,77.8312116247,0.0741961047,0.9786691292,0.6738553798,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307200108438VCMLEBC040,'2022-03-07 20:01:16:857,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9, C3141 MBO OVEN,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,0,0,0.0436459551,0.0000000000,0.0825988688,0.0763710216,0.0975286737,0.0381576717,0.1183381081,0.0750380084,0.0759302154,0.1454867274,0.1047094762,0.0420342088,0.1067042723,0.1783833504,0.1914820820,0.1140320227,0.1177380234,0.1363182366,0.2244070619,0.1479604691,0.1160952449,0.1492454708,0.0635124594,0.2547527552,0.0895109177,0.1373408288,0.2803886235,0.1903900504,0.2040121555,0.2457267344,0.1335992515,0.2330825031,0.1939554214,0.1511526406,0.1108429506,0.1320325732,0.2852017283,0.1120613962,0.2013109475,0.1838292778,0.2519376874,0.0786003023,0.1029020920,0.1418750584,0.0753434449,0.0290770270,0.1981835365,0.2024171352,0.0572543442,0.0493884385,0.0665857196,0.2633823156,0.2574179471,0.1934917271,0.0963297635,0.4524777457,0.3480811417,0.3847588897,0.5292922258,0.5477787256,0.3971999288,0.4215906858,0.5551062226,0.4575072825,0.4848695397,0.3215776384,0.5812439322,0.5606077313,0.3403671384,0.5340192914,0.5100848675,0.5653198957,0.4904010296,0.4522383809,0.4465338588,0.5902882218,0.6393825412,0.4856708348,0.4552510381,0.6609109044,0.5144671202,0.6135485172,0.5698670745,0.5238636136,0.5728972554,0.3725946546,0.5054026842,0.6409013271,0.5252447128,0.6372752786,0.5212690830,0.6325312257,0.6274325252,0.6447916627,0.5643953681,0.5771501064,0.5582551360,0.5219840407,0.4457343817,0.6375340223,0.6091506481,0.4591167867,0.4619895220,0.5242041349,0.6901664734,0.6906665564,0.6048101187,0.5084485412,3.1296296296,52.7148148148,2019.6296296296,1459.7851851852,5.8040268937,5.8100486220,77.6793177189,0.0680077762,0.9782458307,0.6720978792,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307200108438VCMLEBC040,'2022-03-07 20:01:17:981,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9, C3141 MBO OVEN,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,1,-96,0.0278158817,0.0000000000,0.2941699736,0.4217984676,0.4031946659,0.1849517375,0.1667350233,0.3356575370,0.2527334690,0.0656139478,0.1697112322,0.2324171960,0.4449915290,0.0497794226,0.0685385317,0.4491152465,0.2071051002,0.1326788515,0.0830670148,0.1911335886,0.2756352425,0.2661933005,0.2315698266,0.1476850659,0.2967992127,0.2130460739,0.1525144279,0.1191992089,0.1177786738,0.1112574041,0.1504300535,0.0983783007,0.3913751841,0.1667850018,0.2068319321,0.4191915393,0.3101893365,0.3897991776,0.1506164670,0.1622088104,0.3165640235,0.2401635647,0.2242723703,0.2065602541,0.2759060860,0.3599924743,0.1320732832,0.3067474961,0.3663590550,0.3283283710,0.3447700739,0.1078573540,0.1422101557,0.2958125472,0.3454419374,0.6882840842,0.7641031742,0.7586245537,0.6219855547,0.6084230542,0.7184549570,0.6753942370,0.5772656798,0.6326790452,0.6487705112,0.7670403123,0.5462659001,0.5552025437,0.7810639143,0.6266400218,0.6100912094,0.5688980818,0.6561173201,0.7013707161,0.6467490196,0.5483481884,0.4458019435,0.6274031401,0.6244344711,0.4419291317,0.5489969254,0.4710668921,0.5071102381,0.5574496984,0.4959238470,0.7002850771,0.5808625221,0.5099734068,0.7134963274,0.6418372393,0.6892125607,0.5167007446,0.5316879749,0.6250982285,0.6001502872,0.5892384648,0.5845016241,0.6308674812,0.7055022717,0.5163639784,0.6191936135,0.6985542178,0.6890189052,0.6546760201,0.4587829113,0.4720907807,0.6327236891,0.6612303257,3.6563786008,52.1131687243,2020.1563786008,1460.3868312757,5.7263956952,5.7322573334,78.1242739033,0.0789342306,0.9800962213,0.6771973063,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307200108438VCMLEBC040,'2022-03-07 20:01:18:824,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9, C3141 MBO OVEN,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,1,-88,0.0240859286,0.0000000000,0.3949117213,0.5226329565,0.5082825422,0.2822400331,0.2664913535,0.4383652210,0.3489241004,0.1692475677,0.2746101022,0.3313728869,0.5358389616,0.1364530325,0.1420567334,0.5538756251,0.2995801568,0.2405956835,0.1651189923,0.3079152107,0.3889696598,0.3420931399,0.2780442834,0.1513299942,0.3597036600,0.2938391566,0.1577837467,0.1703261435,0.1331590116,0.1283226758,0.2137642503,0.1183112413,0.4646383524,0.2417854071,0.2495035082,0.4574189484,0.3751357496,0.4063111842,0.1884705424,0.2124358267,0.3685472012,0.3027046323,0.2815691233,0.2689411342,0.3399266601,0.4275845289,0.1954500973,0.3412870765,0.4262837470,0.4035861194,0.3763685226,0.1418511868,0.1851474047,0.3544952869,0.3775449991,0.7443416268,0.8047266006,0.8064311743,0.6887757778,0.6774329543,0.7579041719,0.7224680781,0.6465198994,0.6881757975,0.7069627047,0.8043707609,0.6223227382,0.6236361265,0.8239578009,0.6937459707,0.6769671440,0.6418827772,0.7187948227,0.7533629537,0.6945684552,0.6094903946,0.5121064186,0.6836475134,0.6709066033,0.5101246834,0.6043726206,0.5363054276,0.5781083703,0.6193903685,0.5668182969,0.7483659983,0.6444879770,0.5715652704,0.7321034670,0.6723520756,0.7125338912,0.5760388970,0.5938886404,0.6569667459,0.6514539719,0.6432490945,0.6437767744,0.6817458868,0.7446700335,0.5831392407,0.6564286351,0.7444350123,0.7351828814,0.6889781356,0.5296275616,0.5357955098,0.6707407832,0.6862514019,3.5000000000,52.1000000000,2020.0000000000,1460.4000000000,5.7306662437,5.7365366325,78.0860680381,0.0759077641,0.9791154096,0.6708842964,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307200108438VCMLEBC040,'2022-03-07 20:01:19:655,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9, C3141 MBO OVEN,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,1,-80,0.0204956900,0.0000000000,0.4949875474,0.5928152204,0.6009938717,0.4026986063,0.3834424913,0.5367452502,0.4558367729,0.2928674221,0.3895722628,0.4472830296,0.6066196561,0.2599360049,0.2598585486,0.6283224821,0.4168703854,0.3614810109,0.2943493128,0.4211974442,0.5082924366,0.4171928763,0.3418203592,0.1958654970,0.4351389408,0.3809751868,0.1874968112,0.2469585240,0.1992116570,0.2077581584,0.3047847152,0.1945454627,0.5219557285,0.3409157991,0.3051248789,0.4862628579,0.4289572239,0.4485377669,0.2556973100,0.2815948725,0.4106463194,0.3781110346,0.3552031219,0.3389397860,0.4156736135,0.4911570549,0.2607772946,0.3816755414,0.4986003041,0.4829123616,0.4005131125,0.2104539573,0.2398411036,0.4095629156,0.4091835618,0.7935540229,0.8334744573,0.8451491594,0.7538092136,0.7417832613,0.7944070101,0.7678809762,0.7124975324,0.7391432524,0.7681016922,0.8342525959,0.6906827688,0.6923210621,0.8559482098,0.7626475096,0.7365348339,0.7108123302,0.7718731165,0.8006718755,0.7380162477,0.6727269888,0.5852150321,0.7358943224,0.7160270214,0.5830003619,0.6584541798,0.6038925648,0.6473647952,0.6812369227,0.6341314316,0.7843472362,0.7012152076,0.6375792027,0.7554398775,0.7068141699,0.7394631505,0.6396338940,0.6578375697,0.6908723116,0.7059500217,0.7005845904,0.6894374490,0.7227431536,0.7779302597,0.6438156366,0.6931424141,0.7851532698,0.7768700719,0.7150702477,0.5962767005,0.6032530665,0.6978214383,0.7082434893,3.3290598291,52.0299145299,2019.8290598291,1460.4700854701,5.7370363374,5.7429197909,78.0488275240,0.0725830816,0.9766992070,0.6728303804,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307200108438VCMLEBC040,'2022-03-07 20:01:20:502,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9, C3141 MBO OVEN,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,1,-72,0.0180358685,0.0000000000,0.5775855631,0.6364359856,0.6593136191,0.5163501501,0.4982424974,0.6102141142,0.5329799652,0.4233514667,0.4749919176,0.5433434844,0.6442055702,0.3890268207,0.3858936429,0.6728783250,0.5357357264,0.4674516320,0.4212731123,0.5090531707,0.5882164240,0.4837526083,0.4225443006,0.2723809183,0.5006077290,0.4381939769,0.2641198337,0.3220898807,0.2906962633,0.3154263496,0.3967966437,0.3137527704,0.5713713765,0.4302762449,0.3818717599,0.4946984053,0.4694688916,0.4579243064,0.3353725970,0.3580927849,0.4619509578,0.4452905059,0.4387500882,0.4025335908,0.4733329415,0.5386782885,0.3433606029,0.4262642860,0.5497875214,0.5448547602,0.4232518971,0.2820686996,0.3143251538,0.4523377419,0.4126036763,0.8311110139,0.8514147997,0.8662196398,0.8082462549,0.7985633612,0.8190202117,0.7955248952,0.7686287165,0.7759137154,0.8148124814,0.8432075977,0.7499613762,0.7507370710,0.8715537190,0.8133295178,0.7794632316,0.7662514448,0.8043472767,0.8301551342,0.7619289160,0.7290797830,0.6509211659,0.7774860859,0.7489784956,0.6480193138,0.6987999678,0.6704353094,0.7002554536,0.7303416729,0.6965283155,0.8125420809,0.7503466010,0.7010221481,0.7684355974,0.7275240421,0.7494112849,0.6964334846,0.7081112862,0.7184773684,0.7458156347,0.7436274290,0.7319425941,0.7592998743,0.7968751192,0.6956857443,0.7252652645,0.8139708638,0.8082578778,0.7323522568,0.6604625583,0.6663675904,0.7303820848,0.7224423885,3.2467248908,52.0982532751,2019.7467248908,1460.4017467249,5.7437446435,5.7496418711,78.0149769000,0.0709393202,0.9768510688,0.6740906669,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307200108438VCMLEBC040,'2022-03-07 20:01:21:334,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9, C3141 MBO OVEN,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,1,-64,0.0163973988,0.0000000000,0.6333338320,0.6380957961,0.6771826744,0.6112471819,0.6068096757,0.6297870278,0.5771675706,0.5364707112,0.5385424495,0.6319884062,0.6339589357,0.5125502348,0.4988969862,0.6683387756,0.6295874715,0.5481417179,0.5260407329,0.5676761866,0.6441329718,0.5216332674,0.4971629679,0.3602572978,0.5552836657,0.4820616543,0.3611979485,0.4188590050,0.3818737864,0.4194310904,0.4731888771,0.4169260263,0.5934208632,0.5021231174,0.4612687826,0.5019619465,0.4972221255,0.4680817723,0.4148716331,0.4364331961,0.4832051098,0.5166546702,0.4988422990,0.4558705688,0.5146476030,0.5555634499,0.4236481786,0.4644598365,0.5898526907,0.5899325609,0.4272201061,0.3725897670,0.3882886171,0.4822384119,0.4148971438,0.8523012549,0.8470468521,0.8708795905,0.8482502699,0.8430283070,0.8246208429,0.8097645640,0.8104689717,0.7966492176,0.8475355506,0.8408873677,0.7999269366,0.7922967076,0.8669711351,0.8565430641,0.8111262918,0.8070994616,0.8228691816,0.8480682373,0.7763200402,0.7785083055,0.7101629972,0.8104603291,0.7645425797,0.7137343884,0.7428796291,0.7189863324,0.7478554249,0.7652450800,0.7458444834,0.8234421611,0.7799951434,0.7559778690,0.7735913992,0.7581703067,0.7644860148,0.7427964211,0.7578193545,0.7455251217,0.7868600488,0.7812013626,0.7633232474,0.7832840085,0.8083511591,0.7464670539,0.7502123713,0.8341592550,0.8257148862,0.7439855337,0.7211659551,0.7263364792,0.7508136630,0.7302193046,3.2030567686,52.0982532751,2019.7030567686,1460.4017467249,5.7542873100,5.7602062175,77.9775180164,0.0699839346,0.9750598485,0.6750761623,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
