GlobalTime,time,station,site,moduleConfig,inputParamterVersion,SWversion,lotNum,barcode,sensorID,LensSN,vcmID,SPModuleSN,FlexureSN,standAlone,TestSW_Rev_NVM,option,AFcode,Sharpness_JEN,Sharpness_MGLVN,sfr_560cm_n4_cen_avg,sfr_560cm_n4_cen_TL_137,sfr_560cm_n4_cen_BR_138,sfr_560cm_n4_cen_TR_139,sfr_560cm_n4_cen_BL_140,sfr_560cm_n4_30F_TL_80,sfr_560cm_n4_30F_T_83,sfr_560cm_n4_30F_TR_88,sfr_560cm_n4_30F_TL_105,sfr_560cm_n4_30F_TL_110,sfr_560cm_n4_30F_TR_115,sfr_560cm_n4_30F_TR_117,sfr_560cm_n4_30F_BL_159,sfr_560cm_n4_30F_BL_165,sfr_560cm_n4_30F_BR_168,sfr_560cm_n4_30F_BR_171,sfr_560cm_n4_30F_BL_188,sfr_560cm_n4_30F_B_191,sfr_560cm_n4_30F_BR_196,sfr_560cm_n4_60F_TL_20,sfr_560cm_n4_60F_TL_22,sfr_560cm_n4_60F_TR_36,sfr_560cm_n4_60F_TR_37,sfr_560cm_n4_60F_TL_46,sfr_560cm_n4_60F_TR_66,sfr_560cm_n4_60F_L_126,sfr_560cm_n4_60F_R_150,sfr_560cm_n4_60F_BL_210,sfr_560cm_n4_60F_BR_230,sfr_560cm_n4_60F_BL_240,sfr_560cm_n4_60F_BL_241,sfr_560cm_n4_60F_BR_256,sfr_560cm_n4_60F_BR_258,sfr_560cm_n4_85F_TL_1,sfr_560cm_n4_85F_TR_14,sfr_560cm_n4_85F_TL_15,sfr_560cm_n4_85F_TL_17,sfr_560cm_n4_85F_TL_18,sfr_560cm_n4_85F_TR_39,sfr_560cm_n4_85F_TR_41,sfr_560cm_n4_85F_TR_42,sfr_560cm_n4_85F_TL_44,sfr_560cm_n4_85F_TR_70,sfr_560cm_n4_85F_BL_208,sfr_560cm_n4_85F_BR_234,sfr_560cm_n4_85F_BL_235,sfr_560cm_n4_85F_BL_237,sfr_560cm_n4_85F_BL_238,sfr_560cm_n4_85F_BR_259,sfr_560cm_n4_85F_BR_261,sfr_560cm_n4_85F_BR_262,sfr_560cm_n4_85F_BL_263,sfr_560cm_n4_85F_BR_276,sfr_560cm_n8_cen_avg,sfr_560cm_n8_cen_TL_137,sfr_560cm_n8_cen_BR_138,sfr_560cm_n8_cen_TR_139,sfr_560cm_n8_cen_BL_140,sfr_560cm_n8_30F_TL_80,sfr_560cm_n8_30F_T_83,sfr_560cm_n8_30F_TR_88,sfr_560cm_n8_30F_TL_105,sfr_560cm_n8_30F_TL_110,sfr_560cm_n8_30F_TR_115,sfr_560cm_n8_30F_TR_117,sfr_560cm_n8_30F_BL_159,sfr_560cm_n8_30F_BL_165,sfr_560cm_n8_30F_BR_168,sfr_560cm_n8_30F_BR_171,sfr_560cm_n8_30F_BL_188,sfr_560cm_n8_30F_B_191,sfr_560cm_n8_30F_BR_196,sfr_560cm_n8_60F_TL_20,sfr_560cm_n8_60F_TL_22,sfr_560cm_n8_60F_TR_36,sfr_560cm_n8_60F_TR_37,sfr_560cm_n8_60F_TL_46,sfr_560cm_n8_60F_TR_66,sfr_560cm_n8_60F_L_126,sfr_560cm_n8_60F_R_150,sfr_560cm_n8_60F_BL_210,sfr_560cm_n8_60F_BR_230,sfr_560cm_n8_60F_BL_240,sfr_560cm_n8_60F_BL_241,sfr_560cm_n8_60F_BR_256,sfr_560cm_n8_60F_BR_258,sfr_560cm_n8_85F_TL_1,sfr_560cm_n8_85F_TR_14,sfr_560cm_n8_85F_TL_15,sfr_560cm_n8_85F_TL_17,sfr_560cm_n8_85F_TL_18,sfr_560cm_n8_85F_TR_39,sfr_560cm_n8_85F_TR_41,sfr_560cm_n8_85F_TR_42,sfr_560cm_n8_85F_TL_44,sfr_560cm_n8_85F_TR_70,sfr_560cm_n8_85F_BL_208,sfr_560cm_n8_85F_BR_234,sfr_560cm_n8_85F_BL_235,sfr_560cm_n8_85F_BL_237,sfr_560cm_n8_85F_BL_238,sfr_560cm_n8_85F_BR_259,sfr_560cm_n8_85F_BR_261,sfr_560cm_n8_85F_BR_262,sfr_560cm_n8_85F_BL_263,sfr_560cm_n8_85F_BR_276,sfr_oc_shift_x,sfr_oc_shift_y,sfr_oc_x,sfr_oc_y,alignment_560cm_EFL,alignment_560cm_PFL,alignment_560cm_dFOV_DOTS,alignment_560cm_tilt_x,alignment_560cm_tilt_y,alignment_560cm_rotation,pass_items,fail_items,result,
T220307180151349VCMLEBC040,'2022-03-07 18:01:56:348,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9,MB0 C3141 NPI UV,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,0,-128,0.0558688547,0.0000000000,0.0390457050,0.0449191742,0.0455053896,0.0463591814,0.0193990748,0.1069758087,0.0966107696,0.0725955069,0.0851348639,0.0431935191,0.0206152424,0.0639780536,0.0552416965,0.0350630544,0.0097384471,0.0825266540,0.0738126859,0.1106034368,0.1147450954,0.1905935556,0.0915896147,0.0815787017,0.1062093824,0.1779780835,0.0535349213,0.1188464984,0.0555384606,0.0981951058,0.1063073128,0.0977605730,0.0957279205,0.1120467559,0.0832995921,0.0844396949,0.0311081000,0.1188108921,0.0579608306,0.0670995861,0.0568534061,0.0666104183,0.0580746196,0.0378614962,0.0384432636,0.0528054312,0.0559514090,0.1384094656,0.0723285824,0.0598073788,0.0670013428,0.0828236565,0.0726611987,0.1184018254,0.0506328270,0.2783798054,0.3653452098,0.3397716582,0.2126939744,0.1957083791,0.3313515484,0.2972774506,0.1585841030,0.2268336415,0.2502536476,0.3967022002,0.1323713511,0.1223238260,0.3691118062,0.2149735093,0.1754069626,0.1222013831,0.2050741315,0.2421293110,0.3106320500,0.2311083972,0.1949062943,0.2970151305,0.2803406715,0.1837202460,0.2052311301,0.1732027978,0.1759504080,0.1925759315,0.1636712551,0.3487506509,0.1963570714,0.1994039565,0.4771264195,0.3700564504,0.4487662315,0.1881463826,0.1846145838,0.3545348048,0.2544716299,0.2542397678,0.2508472800,0.2986364365,0.3491677344,0.1635266244,0.3230542839,0.3346853554,0.3136999011,0.3855843842,0.1319619119,0.1584850848,0.3286568522,0.4070093334,2.7720588235,51.5441176471,2019.2720588235,1460.9558823529,5.6873982118,5.6931802445,78.3672588076,0.0625665531,0.9759442193,0.5995856135,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307180151349VCMLEBC040,'2022-03-07 18:01:57:140,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9,MB0 C3141 NPI UV,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,0,-96,0.0360336331,0.0000000000,0.1376767689,0.2375992239,0.2099981010,0.0413704477,0.0617393032,0.1303888857,0.0980408117,0.0668366402,0.0436150990,0.0969840288,0.2801228166,0.0931995362,0.1006795838,0.2538412213,0.0784201622,0.0525135323,0.1147159189,0.0611145869,0.0553040579,0.1670534313,0.1562128812,0.1629890800,0.2011668384,0.1394018531,0.1616947204,0.1437376440,0.1373687238,0.1794208884,0.1272484362,0.1725219637,0.2460874319,0.1097882092,0.1438618004,0.2857301831,0.1642540693,0.2809393406,0.0699900016,0.0807198137,0.1876596212,0.1395012885,0.1436459124,0.1056324542,0.1678513587,0.2130403519,0.0506268442,0.1812103540,0.2307991683,0.1767303944,0.2259851545,0.0629531890,0.0768666714,0.1379872262,0.2226562798,0.5616394281,0.6564900279,0.6355396509,0.4875699878,0.4669580460,0.6187302470,0.5769400597,0.4444450140,0.5150666833,0.5238673687,0.6739656329,0.4029073119,0.4109228551,0.6621935368,0.4873506427,0.4699757397,0.4217693806,0.5176889896,0.5590021610,0.5491534472,0.4419113398,0.3334197998,0.5348346829,0.5099400282,0.3191782534,0.4034005404,0.3320408165,0.3503180444,0.4076990485,0.3353065550,0.5909246802,0.4282587767,0.3902720213,0.6470361352,0.5561349392,0.6166027188,0.4102942944,0.4197559953,0.5438359976,0.5020152926,0.4883527756,0.4808942676,0.5403609276,0.6051917672,0.3919149637,0.5036232471,0.5784681439,0.5627847314,0.5714187622,0.3314948678,0.3536334932,0.5195870399,0.5782525539,2.6406250000,51.6796875000,2019.1406250000,1460.8203125000,5.7092918329,5.7151184899,78.2298258205,0.0598228253,0.9747802463,0.6006657502,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307180151349VCMLEBC040,'2022-03-07 18:01:57:960,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9,MB0 C3141 NPI UV,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,0,-64,0.0192551948,0.0000000000,0.5419998616,0.6259963512,0.6297180653,0.4684969187,0.4437881112,0.5876482725,0.5134547353,0.3664759398,0.4369568229,0.5150825381,0.6450891495,0.3219002485,0.3095333576,0.6547932029,0.4733063579,0.4035391212,0.3472898304,0.4584625959,0.5414885879,0.4596317410,0.3854740262,0.2249559611,0.4858036339,0.4020576477,0.2112331539,0.2730519474,0.2120909691,0.2234433293,0.3195962906,0.2086498141,0.5463021398,0.3545137644,0.3367700577,0.4988682568,0.4174564481,0.4603860974,0.3030897677,0.3249446154,0.4177028239,0.4249461591,0.4163801670,0.3747196198,0.4539687037,0.5117895007,0.2946001291,0.3624513149,0.5207540989,0.5058941841,0.4175096452,0.2262994647,0.2656716406,0.3766065836,0.4093592167,0.8126899600,0.8472531438,0.8528172970,0.7821773291,0.7685120702,0.8172270656,0.7936338782,0.7503266931,0.7614633441,0.7982397079,0.8483210802,0.7251389623,0.7197847962,0.8629250526,0.7845252752,0.7582000494,0.7370917797,0.7854414582,0.8134582043,0.7656732202,0.7115124464,0.6254993677,0.7655112743,0.7398259044,0.6221854687,0.6795746088,0.6269725561,0.6561354995,0.6953915358,0.6515523791,0.7951222658,0.7140780687,0.6649997830,0.7607067227,0.7195699215,0.7545732856,0.6860681772,0.6966134310,0.7158534527,0.7427979708,0.7399346828,0.7254728675,0.7519775629,0.7889122963,0.6637680531,0.6928709149,0.7996704578,0.7869729400,0.7256633043,0.6205329299,0.6283003688,0.6952992082,0.7158343792,2.9545454545,51.8679653680,2019.4545454545,1460.6320346320,5.7341567018,5.7400342475,78.0812262916,0.0655167690,0.9741195651,0.6002254448,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307180151349VCMLEBC040,'2022-03-07 18:01:58:814,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9,MB0 C3141 NPI UV,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,0,-32,0.0182517909,0.0000000000,0.5670232773,0.4379519820,0.4975374341,0.6604830027,0.6721206903,0.4919793308,0.4826495051,0.6394460797,0.5204195380,0.6311279535,0.4164276123,0.6634439230,0.6158900261,0.4571312666,0.6758700609,0.5811769366,0.6233355403,0.5533789396,0.5809002519,0.4841703773,0.6177301407,0.5501790047,0.5419678688,0.4592701793,0.5643168688,0.4754763246,0.5162750483,0.5485130548,0.5176907778,0.5477980375,0.5015515685,0.5302708149,0.6143231988,0.4578873515,0.5361228585,0.4313198328,0.5731272697,0.5790146589,0.5167519450,0.5660890341,0.5727052689,0.5135471821,0.5135442019,0.4949769974,0.5593994856,0.5113586187,0.5586293936,0.5617496371,0.4295293689,0.5649729967,0.5741192102,0.5200505257,0.4073350430,0.8259971291,0.7673497200,0.8021015525,0.8676322699,0.8669049740,0.7615534067,0.7656904459,0.8456502557,0.7779967189,0.8512077332,0.7499804497,0.8500583768,0.8263064027,0.7826693058,0.8734507561,0.8126575947,0.8404030800,0.8078160286,0.8083229065,0.7538334727,0.8400421739,0.8096499443,0.8203169703,0.7468582392,0.8155704141,0.7618631124,0.7963058949,0.7960733175,0.7929131985,0.8003596067,0.7933346033,0.7959259152,0.8413335681,0.7581290603,0.7783067822,0.7552253604,0.8222778440,0.8254065514,0.7873710990,0.8149931431,0.8184148073,0.7920141220,0.7850070596,0.7772814035,0.8156734705,0.7844122648,0.8139058948,0.8150441051,0.7559964657,0.8181334734,0.8215059638,0.7795562148,0.7255844474,2.5901287554,52.2596566524,2019.0901287554,1460.2403433476,5.7629557851,5.7688925481,77.9339693236,0.0583123050,0.9766368482,0.5978844235,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307180151349VCMLEBC040,'2022-03-07 18:01:59:627,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9,MB0 C3141 NPI UV,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,0,0,0.0362029840,0.0000000000,0.1305828718,0.0347739421,0.1107150912,0.1608104855,0.2160319686,0.0942542106,0.1115946174,0.2620404959,0.1584101319,0.0893149078,0.0452890210,0.3106714487,0.3127917647,0.1120940670,0.2001729906,0.2332772017,0.3300553560,0.2444225550,0.2034087181,0.2106285989,0.2178715765,0.3710325956,0.0530973524,0.2127040476,0.3933306038,0.2882604897,0.3324266672,0.3593412042,0.2534781694,0.3560303450,0.0587442219,0.2625913322,0.3296270967,0.2205710709,0.3792958260,0.2056520730,0.3285095990,0.3182634711,0.3665609360,0.2060595751,0.2217941284,0.2462749779,0.1760781109,0.1060442775,0.3521679938,0.3478472829,0.1172045618,0.1166589558,0.1892448813,0.4474561810,0.4310931265,0.3509743810,0.2223137915,0.5642945617,0.4540455341,0.4981986284,0.6449508667,0.6599832177,0.4879348278,0.5028300285,0.6507408023,0.5473965406,0.5997981429,0.4242807329,0.6751695871,0.6573854685,0.4630171657,0.6506523490,0.6081389189,0.6615580916,0.5856631994,0.5610259175,0.5277989507,0.6927042603,0.7133069038,0.5841326118,0.5416941047,0.7330530882,0.6116446257,0.6899192929,0.6690654159,0.6304780245,0.6698649526,0.5134264827,0.6184555292,0.7437222600,0.6076626778,0.6950863004,0.6048656106,0.7086153626,0.7063273191,0.7081745267,0.6404113770,0.6548891664,0.6389298439,0.6004005671,0.5610848069,0.7230352163,0.7131034732,0.5844273567,0.5894141197,0.6243814230,0.7733224034,0.7721276879,0.7034841180,0.6058903933,2.5530303030,52.3712121212,2019.0530303030,1460.1287878788,5.7919782908,5.7979750311,77.7694901720,0.0573232576,0.9738329528,0.5949562261,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307180151349VCMLEBC040,'2022-03-07 18:02:00:493,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9,MB0 C3141 NPI UV,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,0,32,0.0597554573,0.0000000000,0.0800642790,0.0687662438,0.0612114780,0.0830587149,0.1072206795,0.0388729200,0.0384189412,0.0610547476,0.0524622947,0.0912787840,0.0650605187,0.0808915347,0.0948370993,0.0666866004,0.1192195341,0.0783596784,0.1095510721,0.0630928576,0.0469320565,0.0813875645,0.2048436403,0.0988482982,0.1885133982,0.0809440687,0.0840496644,0.0905770361,0.0577433556,0.1294635832,0.0600496978,0.1164632142,0.1700024903,0.0626417622,0.1842479706,0.0563593358,0.1652523577,0.0541482940,0.0870662034,0.0708676949,0.1154916734,0.0873973146,0.0860867053,0.0665384233,0.0511888862,0.0893252715,0.0278188959,0.0878388882,0.1393255144,0.1333639026,0.0180270150,0.0412863903,0.0592003167,0.0980554223,0.0502309129,0.2161851674,0.1290307343,0.1807388365,0.2612968981,0.2936742008,0.1956384778,0.2145605832,0.3159884214,0.2541544735,0.2138191313,0.0983711034,0.3566381931,0.3550573587,0.1556315124,0.2773424089,0.3099108338,0.3617062271,0.3128030002,0.2683142126,0.2658821046,0.3076788783,0.4230481982,0.2028582692,0.2798848450,0.4488565624,0.3541441858,0.4165902138,0.4030814171,0.3418969810,0.4013124108,0.1386323869,0.3347858787,0.3771219254,0.3804389834,0.4991330504,0.3597273827,0.3980257511,0.4042803645,0.4950977862,0.3268465698,0.3345928788,0.3567895889,0.3149239421,0.2528747320,0.4449728131,0.4856592119,0.2520727217,0.2544254363,0.3814502358,0.4846519828,0.4786249697,0.4906959236,0.3901863396,2.8241379310,52.6379310345,2019.3241379310,1459.8620689655,5.8182668243,5.8243181523,77.6130862658,0.0621312382,0.9744129867,0.5925209232,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307180151349VCMLEBC040,'2022-03-07 18:02:01:630,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9,MB0 C3141 NPI UV,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,1,-64,0.0188275839,0.0000000000,0.5518712848,0.6316914558,0.6355242729,0.4799745679,0.4602948427,0.5925531983,0.5312546492,0.3873086572,0.4460965395,0.5251719356,0.6430437565,0.3375928402,0.3355792761,0.6581652164,0.4875584245,0.4192885756,0.3672250509,0.4685092270,0.5530751944,0.4734367728,0.3975430131,0.2369002551,0.4980770350,0.4171150327,0.2275910974,0.2841362357,0.2280476391,0.2391472757,0.3373216987,0.2298730612,0.5517482162,0.3718572259,0.3514299989,0.4965393841,0.4364833832,0.4627043605,0.3169366717,0.3373520374,0.4267705679,0.4419468641,0.4353168011,0.3898307085,0.4673522711,0.5167758465,0.3014948368,0.3695074320,0.5421942472,0.5227499008,0.4211332202,0.2436765283,0.2811218202,0.3930632472,0.4212355614,0.8177299798,0.8501666188,0.8568059206,0.7891740799,0.7747732997,0.8197649121,0.7987678051,0.7558742166,0.7662192583,0.8020521402,0.8468018770,0.7307877541,0.7238354683,0.8630455732,0.7918013930,0.7641887665,0.7438684702,0.7909836769,0.8177194595,0.7677161694,0.7175070047,0.6366699934,0.7731747031,0.7425334454,0.6345977783,0.6854937077,0.6419487596,0.6659357548,0.7035257816,0.6579135060,0.8004214764,0.7209997177,0.6734331846,0.7660608292,0.7235037088,0.7532421947,0.6857004166,0.7012974024,0.7162032723,0.7460380197,0.7471666932,0.7260973454,0.7555353642,0.7921288610,0.6751171350,0.7002804279,0.8048975468,0.7918789983,0.7291232347,0.6361249089,0.6400583386,0.7030292153,0.7179705501,2.8826086957,51.8478260870,2019.3826086957,1460.6521739130,5.7362021935,5.7420839353,78.0753173060,0.0641295624,0.9733902087,0.6014257948,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307180151349VCMLEBC040,'2022-03-07 18:02:02:509,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9,MB0 C3141 NPI UV,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,1,-56,0.0169689580,0.0000000000,0.6117664129,0.6436018944,0.6647404432,0.5751153827,0.5636079311,0.6289583445,0.5799070597,0.4925969839,0.5191617608,0.6061064005,0.6524392366,0.4531976879,0.4498252273,0.6759185791,0.5825360417,0.5142235160,0.4726490378,0.5411193371,0.6193733215,0.5217965841,0.4774234295,0.3239358664,0.5562368631,0.4718288183,0.3180493116,0.3622314930,0.3130513132,0.3420419693,0.4145697653,0.3355557919,0.5907508731,0.4494554698,0.4186353683,0.5053502321,0.4777007699,0.4810242057,0.3967248201,0.4141855240,0.4771482944,0.5050494671,0.4980975688,0.4496606588,0.5188249350,0.5550904870,0.3876130581,0.4231533408,0.5908682942,0.5802305937,0.4343348145,0.3243166804,0.3500959575,0.4455699325,0.4333120286,0.8438337594,0.8548509479,0.8681839108,0.8316565752,0.8206436038,0.8254476190,0.8115755320,0.8022665977,0.7918505669,0.8393314481,0.8493124247,0.7811135054,0.7753688097,0.8726587296,0.8332180977,0.7978792191,0.7879757285,0.8136403561,0.8393061161,0.7873535156,0.7667009830,0.6925743818,0.8121963739,0.7661963701,0.6893140674,0.7241523266,0.6935423017,0.7169510126,0.7437434196,0.7127872705,0.8222440481,0.7612828612,0.7304669619,0.7797417045,0.7385628819,0.7707480192,0.7387489080,0.7497000694,0.7423866987,0.7850632071,0.7832424641,0.7631616592,0.7806397676,0.8110015988,0.7260100842,0.7319285870,0.8295177221,0.8169921637,0.7461548448,0.6921117306,0.6965191364,0.7321247458,0.7389451265,2.8421052632,51.9298245614,2019.3421052632,1460.5701754386,5.7427091023,5.7486042026,78.0414133564,0.0632898072,0.9738387344,0.5986455419,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307180151349VCMLEBC040,'2022-03-07 18:02:03:361,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9,MB0 C3141 NPI UV,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,1,-48,0.0162534505,0.0000000000,0.6474575102,0.6194713116,0.6617627740,0.6562500000,0.6523459554,0.6253381968,0.5834807158,0.5977330208,0.5656236410,0.6704547405,0.6107697487,0.5683965683,0.5494252443,0.6440489292,0.6631160975,0.5789550543,0.5684503913,0.5883971453,0.6502345800,0.5374939442,0.5529799461,0.4294019938,0.5879580975,0.4992498457,0.4189838767,0.4434440136,0.4261478782,0.4440406263,0.4916298687,0.4319611788,0.6031128168,0.5136769414,0.4992215037,0.4996008277,0.5089896321,0.4785372913,0.4825507402,0.4972959757,0.5103133917,0.5581624508,0.5518268347,0.4975044131,0.5385310650,0.5707312822,0.4587765932,0.4658227265,0.6149377227,0.6063997746,0.4583918452,0.4143426418,0.4298636317,0.4820851684,0.4372342229,0.8569622636,0.8442350030,0.8665331602,0.8630442023,0.8540366888,0.8216555119,0.8167902231,0.8341774940,0.8042773604,0.8598076105,0.8343751431,0.8218577504,0.8111682534,0.8591844440,0.8655650616,0.8208614588,0.8234635592,0.8351228237,0.8475835919,0.7898904681,0.8091545105,0.7503566742,0.8307313323,0.7738921642,0.7483220100,0.7575962543,0.7464529276,0.7600914240,0.7805032730,0.7611276507,0.8288238645,0.7895588875,0.7785692811,0.7753363252,0.7618020773,0.7743054032,0.7770240307,0.7853683829,0.7670889497,0.8075857759,0.8058487177,0.7829589844,0.7974516749,0.8159587383,0.7680660486,0.7539842129,0.8397628069,0.8324822783,0.7612345815,0.7479039431,0.7496519089,0.7567136288,0.7399019003,2.8215859031,52.0242290749,2019.3215859031,1460.4757709251,5.7503789734,5.7562898391,78.0040510490,0.0628172463,0.9743235891,0.5981105320,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
T220307180151349VCMLEBC040,'2022-03-07 18:02:04:200,VCMLEBC040A,3,DB_C1001,210615ADOE,R13A_IPQC_MFG_SFR_InfDn_C10_21090805_b1779c9,MB0 C3141 NPI UV,,19cc74160759,0x5240f961b886c703,AS1C064063HGA531B631019026,AJ8C072342GAB431B625,DNB21523054440K13A,0,0.0000000000,1,-40,0.0165625159,0.0000000000,0.6295587122,0.5487372875,0.5990847349,0.6844357252,0.6859771013,0.5775367618,0.5622073412,0.6449370980,0.5598009229,0.6754930019,0.5281578302,0.6410936117,0.6125230789,0.5706822276,0.6966609955,0.6070636511,0.6244832277,0.5870457888,0.6312093735,0.5304923058,0.5949729085,0.5057522058,0.5885920525,0.4935787618,0.5107091665,0.4729725718,0.4817243218,0.5096148849,0.5225011110,0.5090777874,0.5666426420,0.5450179577,0.5722485781,0.4891602993,0.5208513737,0.4629037976,0.5365900993,0.5468146801,0.5238603354,0.5831737518,0.5764235258,0.5173287988,0.5400352478,0.5468967557,0.5280212164,0.4987046421,0.6059781313,0.6147567034,0.4463805556,0.5084913969,0.5158647299,0.5143039227,0.4235582948,0.8505293578,0.8143008947,0.8445630670,0.8730149865,0.8702384830,0.8016234636,0.7971796989,0.8507668376,0.8002314568,0.8670879602,0.8002603054,0.8454451561,0.8294142485,0.8309156299,0.8806222081,0.8282006383,0.8410046697,0.8297876120,0.8347311616,0.7780830264,0.8355045915,0.7890853882,0.8315116763,0.7685394883,0.7882861495,0.7654993534,0.7760903239,0.7850683928,0.7898408771,0.7852355242,0.8193525076,0.8039271235,0.8132563829,0.7722901702,0.7723796964,0.7729533315,0.8092014790,0.8141692281,0.7839578986,0.8177025318,0.8220801353,0.7963338494,0.7979855537,0.8079968691,0.7987614870,0.7752911448,0.8396505713,0.8307054043,0.7683692575,0.7840101719,0.7923920751,0.7711552978,0.7393434644,2.7719298246,52.0789473684,2019.2719298246,1460.4210526316,5.7587448674,5.7646729532,77.9648373213,0.0617881756,0.9739399989,0.5972688155,alignment_560cm_EFL / alignment_560cm_rotation / ,,1,
